,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9
2012-10-01,0.147,0.121,0.141,0.164,0.153,0.154,0.152,0.154,0.153
2012-10-02,0.152,0.167,0.267,0.159,0.186,0.152,0.160,0.190,0.178
2012-10-03,0.171,0.172,0.250,0.167,0.175,0.163,0.168,0.194,0.168
2012-10-04,0.171,0.172,0.250,0.167,0.175,0.163,0.168,0.194,0.180
2012-10-05,0.171,0.172,0.250,0.167,0.175,0.163,0.168,0.194,0.180
2012-10-06,0.160,0.158,0.240,0.158,0.166,0.162,0.156,0.168,0.177
2012-10-07,0.171,0.156,0.177,0.159,0.162,0.164,0.175,0.160,0.163
2012-10-08,0.171,0.156,0.177,0.153,0.160,0.164,0.146,0.142,0.161
2012-10-09,0.171,0.156,0.182,0.153,0.165,0.187,0.147,0.143,0.162
2012-10-10,0.148,0.160,0.167,0.157,0.156,0.187,0.163,0.152,0.173
2012-10-11,0.148,0.160,0.157,0.158,0.154,0.157,0.163,0.159,0.159
2012-10-12,0.153,0.163,0.158,0.156,0.154,0.156,0.155,0.157,0.159
2012-10-13,0.147,0.183,0.165,0.150,0.144,0.150,0.141,0.137,0.150
2012-10-14,0.149,0.185,0.158,0.155,0.156,0.153,0.150,0.148,0.156
2012-10-15,0.153,0.185,0.158,0.151,0.156,0.153,0.147,0.148,0.156
2012-10-16,0.158,0.155,0.148,0.159,0.156,0.172,0.165,0.153,0.158
2012-10-17,0.158,0.155,0.148,0.159,0.156,0.172,0.165,0.153,0.158
2012-10-18,0.158,0.155,0.148,0.159,0.156,0.172,0.165,0.153,0.158
2012-10-19,0.149,0.156,0.155,0.178,0.169,0.173,0.153,0.153,0.153
2012-10-20,0.158,0.147,0.152,0.165,0.159,0.158,0.164,0.143,0.149
2012-10-21,0.170,0.157,0.152,0.172,0.152,0.150,0.187,0.160,0.141
2012-10-22,0.170,0.157,0.152,0.172,0.163,0.161,0.187,0.140,0.151
2012-10-23,0.163,0.145,0.153,0.166,0.158,0.149,0.197,0.149,0.145
2012-10-24,0.155,0.151,0.158,0.146,0.160,0.149,0.196,0.149,0.147
2012-10-25,0.156,0.151,0.158,0.152,0.165,0.150,0.198,0.159,0.148
2012-10-26,0.150,0.148,0.157,0.150,0.167,0.150,0.198,0.159,0.148
2012-10-27,0.145,0.148,0.172,0.175,0.165,0.161,0.177,0.154,0.148
2012-10-28,0.150,0.155,0.164,0.176,0.167,0.152,0.177,0.154,0.148
2012-10-29,0.138,0.151,0.148,0.178,0.163,0.153,0.176,0.169,0.167
2012-10-30,0.138,0.151,0.148,0.175,0.163,0.153,0.176,0.169,0.156
2012-10-31,0.145,0.167,0.158,0.166,0.170,0.155,0.174,0.169,0.156
2012-11-01,0.142,0.167,0.157,0.163,0.170,0.155,0.174,0.169,0.156
