,9 Point Prediction
2012-10-01,0.16838141
2012-10-02,0.17042898
2012-10-03,0.16975914
2012-10-04,0.16976751
2012-10-05,0.16976751
2012-10-06,0.16905455
2012-10-07,0.168115
2012-10-08,0.167944
2012-10-09,0.1682663
2012-10-10,0.16826789
2012-10-11,0.16868177
2012-10-12,0.168591
2012-10-13,0.16861118
2012-10-14,0.16876487
2012-10-15,0.16871297
2012-10-16,0.16819762
2012-10-17,0.16819762
2012-10-18,0.16819762
2012-10-19,0.16824456
2012-10-20,0.16827092
2012-10-21,0.16845849
2012-10-22,0.16830708
2012-10-23,0.16866128
2012-10-24,0.16881658
2012-10-25,0.16891572
2012-10-26,0.16902429
2012-10-27,0.16858678
2012-10-28,0.16894458
2012-10-29,0.17004497
2012-10-30,0.16982739
2012-10-31,0.16944145
2012-11-01,0.16951199
2012-11-02,0.16915843
2012-11-03,0.16934328
2012-11-04,0.16934235
2012-11-05,0.16971691
2012-11-06,0.17014916
2012-11-07,0.17012803
2012-11-08,0.1687889
2012-11-09,0.16984317
2012-11-10,0.1700735
2012-11-11,0.16986144
2012-11-12,0.16971321
2012-11-13,0.16902944
2012-11-14,0.16898435
2012-11-15,0.17039551
2012-11-16,0.17140605
2012-11-17,0.17210509
2012-11-18,0.17200284
2012-11-19,0.17073148
2012-11-20,0.1715822
2012-11-21,0.17101435
2012-11-22,0.17128755
2012-11-23,0.17128755
2012-11-24,0.16903876
2012-11-25,0.16857745
2012-11-26,0.17008536
2012-11-27,0.17080507
2012-11-28,0.17114343
2012-11-29,0.1705101
2012-11-30,0.16860537
2012-12-01,0.16988344
2012-12-02,0.16847609
2012-12-03,0.17000572
2012-12-04,0.16971724
2012-12-05,0.17014204
2012-12-06,0.17065533
2012-12-07,0.17085077
2012-12-08,0.16982947
2012-12-09,0.17008547
2012-12-10,0.17142949
2012-12-11,0.17103083
2012-12-12,0.17204005
2012-12-13,0.17274444
2012-12-14,0.17190869
2012-12-15,0.17317553
2012-12-16,0.17317943
2012-12-17,0.17145905
2012-12-18,0.17143536
2012-12-19,0.17175068
2012-12-20,0.17045249
2012-12-21,0.17046209
2012-12-22,0.17062001
2012-12-23,0.16945261
2012-12-24,0.17176005
2012-12-25,0.17187408
2012-12-26,0.17298399
2012-12-27,0.17921199
2012-12-28,0.179788
2012-12-29,0.1817253
2012-12-30,0.18204246
2012-12-31,0.17736283
2013-01-01,0.18040265
2013-01-02,0.18213229
2013-01-03,0.19781229
2013-01-04,0.18364115
2013-01-05,0.18578051
2013-01-06,0.17991552
2013-01-07,0.19673832
2013-01-08,0.2526407
2013-01-09,0.2569731
2013-01-10,0.2787001
2013-01-11,0.34375036
2013-01-12,0.33482164
2013-01-13,0.3250634
2013-01-14,0.33409867
2013-01-15,0.3331567
2013-01-16,0.33634055
2013-01-17,0.33770806
2013-01-18,0.38679942
2013-01-19,0.4371531
2013-01-20,0.3556939
2013-01-21,0.3389804
2013-01-22,0.36270267
2013-01-23,0.4596914
2013-01-24,0.45139712
2013-01-25,0.4434234
2013-01-26,0.45076936
2013-01-27,0.44192642
2013-01-28,0.44433755
2013-01-29,0.5465415
2013-01-30,0.72942835
2013-01-31,0.62824667
2013-02-01,0.6766331
2013-02-02,0.57200086
2013-02-03,0.49236786
2013-02-04,0.42226654
2013-02-05,0.38783577
2013-02-06,0.37758029
2013-02-07,0.5311522
2013-02-08,0.6402861
2013-02-09,0.2166891
2013-02-10,0.25389147
2013-02-11,0.22054078
2013-02-12,0.28241298
2013-02-13,0.23784047
2013-02-14,0.2391933
2013-02-15,0.21495517
2013-02-16,0.21061473
2013-02-17,0.26055366
2013-02-18,0.21701042
2013-02-19,0.18867679
2013-02-20,0.20509627
2013-02-21,0.27040482
2013-02-22,0.24583869
2013-02-23,0.20914192
2013-02-24,0.26569676
2013-02-25,0.19126931
2013-02-26,0.22290055
2013-02-27,0.17675401
2013-02-28,0.22538139
2013-03-01,0.24784024
2013-03-02,0.24784024
2013-03-03,0.20195027
2013-03-04,0.19578625
2013-03-05,0.20655413
2013-03-06,0.1806104
2013-03-07,0.22702429
2013-03-08,0.1977475
2013-03-09,0.19367088
2013-03-10,0.1830578
2013-03-11,0.17957957
2013-03-12,0.17722578
2013-03-13,0.17512451
2013-03-14,0.17463474
2013-03-15,0.17775823
2013-03-16,0.17726912
2013-03-17,0.17622237
2013-03-18,0.17655875
2013-03-19,0.17654961
2013-03-20,0.17655833
2013-03-21,0.17724366
2013-03-22,0.1767559
2013-03-23,0.17725767
2013-03-24,0.17836502
2013-03-25,0.17874621
2013-03-26,0.17831898
2013-03-27,0.17958619
2013-03-28,0.18216258
2013-03-29,0.18021847
2013-03-30,0.18106946
2013-03-31,0.17673184
2013-04-01,0.17487328
2013-04-02,0.17568934
2013-04-03,0.17606331
2013-04-04,0.17692044
2013-04-05,0.1736765
2013-04-06,0.17313631
2013-04-07,0.17203237
2013-04-08,0.17145447
2013-04-09,0.17245583
2013-04-10,0.17200428
2013-04-11,0.17392315
2013-04-12,0.17513368
2013-04-13,0.17493767
2013-04-14,0.1744817
2013-04-15,0.17407204
2013-04-16,0.17506409
2013-04-17,0.17284143
2013-04-18,0.17284143
2013-04-19,0.17284143
2013-04-20,0.17264786
2013-04-21,0.17344384
2013-04-22,0.17353524
2013-04-23,0.17368001
2013-04-24,0.17367353
2013-04-25,0.17367353
2013-04-26,0.1737616
2013-04-27,0.1737616
2013-04-28,0.1740015
2013-04-29,0.1720291
2013-04-30,0.17221613
2013-05-01,0.17146458
2013-05-02,0.17118736
2013-05-03,0.17158318
2013-05-04,0.17178072
2013-05-05,0.17085813
2013-05-06,0.17049278
2013-05-07,0.1704917
2013-05-08,0.17180623
2013-05-09,0.17287381
2013-05-10,0.17230496
2013-05-11,0.16983171
2013-05-12,0.1699192
2013-05-13,0.16878508
2013-05-14,0.16897017
2013-05-15,0.16901128
2013-05-16,0.16901128
2013-05-17,0.16890785
2013-05-18,0.16946019
2013-05-19,0.16971163
2013-05-20,0.16931756
2013-05-21,0.16971152
2013-05-22,0.16921316
2013-05-23,0.16867772
2013-05-24,0.1685269
2013-05-25,0.1685269
2013-05-26,0.16825718
2013-05-27,0.16818547
2013-05-28,0.16810066
