,Linear Interpolation,Mean Imputation,Cubic Spline,Polynomial,Cubic
2013-08-14,0.406,0.406,0.406,0.406,0.406
2013-08-15,0.377,0.377,0.377,0.377,0.377
2013-08-16,0.377,0.377,0.377,0.377,0.377
2013-08-17,0.355,0.355,0.355,0.355,0.355
2013-08-18,0.338,0.338,0.338,0.338,0.338
2013-08-19,0.197,0.197,0.197,0.197,0.197
2013-08-20,0.18,0.18,0.18,0.18,0.18
2013-08-21,0.18,0.18,0.18,0.18,0.18
2013-08-22,0.168,0.168,0.168,0.168,0.168
2013-08-23,0.181,0.181,0.181,0.181,0.181
2013-08-24,0.169,0.169,0.169,0.169,0.169
2013-08-25,0.181,0.181,0.181,0.181,0.181
2013-08-26,0.183,0.183,0.183,0.183,0.183
2013-08-27,0.183,0.183,0.183,0.183,0.183
2013-08-28,0.183,0.183,0.183,0.183,0.183
2013-08-29,0.183,0.183,0.183,0.183,0.183
2013-08-30,0.184,0.184,0.184,0.184,0.184
2013-08-31,0.184,0.184,0.184,0.184,0.184
2013-09-01,0.184,0.184,0.184,0.184,0.184
2013-09-02,0.184,0.184,0.184,0.184,0.184
2013-09-03,0.185,0.185,0.185,0.185,0.185
2013-09-04,0.144,0.144,0.144,0.144,0.144
2013-09-05,0.146,0.146,0.146,0.146,0.146
2013-09-06,0.147,0.147,0.147,0.147,0.147
2013-09-07,0.147,0.147,0.147,0.147,0.147
2013-09-08,0.159,0.159,0.159,0.159,0.159
2013-09-09,0.16,0.16,0.16,0.16,0.16
2013-09-10,0.183,0.183,0.183,0.183,0.183
2013-09-11,0.183,0.183,0.183,0.183,0.183
2013-09-12,0.183,0.183,0.183,0.183,0.183
2013-09-13,0.186,0.186,0.186,0.186,0.186
2013-09-14,0.145,0.145,0.145,0.145,0.145
2013-09-15,0.145,0.145,0.145,0.145,0.145
2013-09-16,0.135,0.135,0.135,0.135,0.135
2013-09-17,0.135,0.135,0.135,0.135,0.135
2013-09-18,0.135,0.135,0.135,0.135,0.135
2013-09-19,0.136,0.136,0.136,0.136,0.136
2013-09-20,0.136,0.136,0.136,0.136,0.136
2013-09-21,0.145,0.145,0.145,0.145,0.145
2013-09-22,0.135,0.135,0.135,0.135,0.135
2013-09-23,0.135,0.135,0.135,0.135,0.135
2013-09-24,0.133,0.133,0.133,0.133,0.133
2013-09-25,0.133,0.133,0.133,0.133,0.133
2013-09-26,0.133,0.133,0.133,0.133,0.133
2013-09-27,0.147,0.147,0.147,0.147,0.147
2013-09-28,0.147,0.147,0.147,0.147,0.147
2013-09-29,0.157,0.157,0.157,0.157,0.157
2013-09-30,0.16,0.16,0.16,0.16,0.16
2013-10-01,0.15,0.15,0.15,0.15,0.15
2013-10-02,0.14,0.14,0.14,0.14,0.14
2013-10-03,0.149,0.149,0.149,0.149,0.149
2013-10-04,0.149,0.149,0.149,0.149,0.149
2013-10-05,0.149,0.149,0.149,0.149,0.149
2013-10-06,0.149,0.149,0.149,0.149,0.149
2013-10-07,0.138,0.138,0.138,0.138,0.138
2013-10-08,0.151,0.151,0.151,0.151,0.151
2013-10-09,0.151,0.151,0.151,0.151,0.151
2013-10-10,0.155,0.155,0.155,0.155,0.155
2013-10-11,0.157,0.157,0.157,0.157,0.157
2013-10-12,0.137,0.137,0.137,0.137,0.137
2013-10-13,0.12,0.12,0.12,0.12,0.12
2013-10-14,0.111,0.111,0.111,0.111,0.111
2013-10-15,0.135,0.135,0.135,0.135,0.135
2013-10-16,0.13,0.13,0.13,0.13,0.13
2013-10-17,0.131,0.131,0.131,0.131,0.131
2013-10-18,0.131,0.131,0.131,0.131,0.131
2013-10-19,0.131,0.131,0.131,0.131,0.131
2013-10-20,0.151,0.151,0.151,0.151,0.151
2013-10-21,0.151,0.151,0.151,0.151,0.151
2013-10-22,0.151,0.151,0.151,0.151,0.151
2013-10-23,0.151,0.151,0.151,0.151,0.151
2013-10-24,0.154,0.154,0.154,0.154,0.154
2013-10-25,0.153,0.153,0.153,0.153,0.153
2013-10-26,0.14,0.14,0.14,0.14,0.14
2013-10-27,0.133,0.133,0.133,0.133,0.133
2013-10-28,0.153,0.153,0.153,0.153,0.153
2013-10-29,0.149,0.149,0.149,0.149,0.149
2013-10-30,0.124,0.124,0.124,0.124,0.124
2013-10-31,0.121,0.121,0.121,0.121,0.121
2013-11-01,0.12639344262295082,0.20253191489361705,0.1742069278428679,0.12502421185317603,0.12502421185317603
2013-11-02,0.13178688524590162,0.20253191489361705,0.177222943290661,0.12930648702216707,0.12930648702216707
2013-11-03,0.13718032786885245,0.20253191489361705,0.18031471691334955,0.1338360243735754,0.1338360243735754
2013-11-04,0.14257377049180328,0.20253191489361705,0.18348081588913362,0.13860202277400324,0.13860202277400324
2013-11-05,0.1479672131147541,0.20253191489361705,0.18671980739621327,0.14359368109005277,0.14359368109005277
2013-11-06,0.1533606557377049,0.20253191489361705,0.19003025861278852,0.14880019818832627,0.14880019818832627
2013-11-07,0.15875409836065574,0.20253191489361705,0.19341073671705944,0.154210772935426,0.154210772935426
2013-11-08,0.16414754098360657,0.20253191489361705,0.196859808887226,0.15981460419795418,0.15981460419795418
2013-11-09,0.16954098360655737,0.20253191489361705,0.2003760423014883,0.16560089084251314,0.16560089084251314
2013-11-10,0.1749344262295082,0.20253191489361705,0.2039580041380464,0.17155883173570508,0.17155883173570508
2013-11-11,0.18032786885245902,0.20253191489361705,0.20760426157510029,0.17767762574413212,0.17767762574413212
2013-11-12,0.18572131147540985,0.20253191489361705,0.21131338179085,0.18394647173439674,0.18394647173439674
2013-11-13,0.19111475409836065,0.20253191489361705,0.21508393196349557,0.19035456857310099,0.19035456857310099
2013-11-14,0.19650819672131148,0.20253191489361705,0.21891447927123714,0.19689111512684718,0.19689111512684718
2013-11-15,0.2019016393442623,0.20253191489361705,0.2228035908922746,0.2035453102622376,0.2035453102622376
2013-11-16,0.20729508196721314,0.20253191489361705,0.22674983400480808,0.2103063528458744,0.2103063528458744
2013-11-17,0.21268852459016394,0.20253191489361705,0.23075177578703762,0.21716344174435995,0.21716344174435995
2013-11-18,0.21808196721311476,0.20253191489361705,0.23480798341716322,0.22410577582429636,0.22410577582429636
2013-11-19,0.2234754098360656,0.20253191489361705,0.23891702407338494,0.23112255395228598,0.23112255395228598
2013-11-20,0.2288688524590164,0.20253191489361705,0.24307746493390284,0.238202974994931,0.238202974994931
2013-11-21,0.23426229508196722,0.20253191489361705,0.24728787317691692,0.24533623781883368,0.24533623781883368
2013-11-22,0.23965573770491805,0.20253191489361705,0.2515468159806272,0.2525115412905963,0.2525115412905963
2013-11-23,0.24504918032786888,0.20253191489361705,0.25585286052323386,0.259718084276821,0.259718084276821
2013-11-24,0.2504426229508197,0.20253191489361705,0.2602045739829367,0.2669450656441102,0.2669450656441102
2013-11-25,0.2558360655737705,0.20253191489361705,0.264600523537936,0.27418168425906597,0.27418168425906597
2013-11-26,0.2612295081967213,0.20253191489361705,0.2690392763664317,0.2814171389882907,0.2814171389882907
2013-11-27,0.26662295081967213,0.20253191489361705,0.27351939964662375,0.28864062869838647,0.28864062869838647
2013-11-28,0.27201639344262296,0.20253191489361705,0.27803946055671236,0.29584135225595565,0.29584135225595565
2013-11-29,0.2774098360655738,0.20253191489361705,0.2825980262748975,0.3030085085276004,0.3030085085276004
2013-11-30,0.2828032786885246,0.20253191489361705,0.28719366397937907,0.31013129637992315,0.31013129637992315
2013-12-01,0.28819672131147545,0.20253191489361705,0.2918249408483572,0.31719891467952593,0.31719891467952593
2013-12-02,0.2935901639344263,0.20253191489361705,0.2964904240600321,0.32420056229301103,0.32420056229301103
2013-12-03,0.29898360655737705,0.20253191489361705,0.30118868079260364,0.33112543808698086,0.33112543808698086
2013-12-04,0.3043770491803279,0.20253191489361705,0.30591827822427187,0.3379627409280375,0.3379627409280375
2013-12-05,0.3097704918032787,0.20253191489361705,0.3106777835332368,0.3447016696827832,0.3447016696827832
2013-12-06,0.31516393442622953,0.20253191489361705,0.3154657638976986,0.3513314232178202,0.3513314232178202
2013-12-07,0.32055737704918036,0.20253191489361705,0.3202807864958573,0.35784120039975087,0.35784120039975087
2013-12-08,0.3259508196721312,0.20253191489361705,0.32512141850591264,0.3642202000951774,0.3642202000951774
2013-12-09,0.331344262295082,0.20253191489361705,0.329986227106065,0.37045762117070186,0.37045762117070186
2013-12-10,0.3367377049180328,0.20253191489361705,0.33487377947451424,0.3765426624929268,0.3765426624929268
2013-12-11,0.3421311475409836,0.20253191489361705,0.33978264278946063,0.3824645229284543,0.3824645229284543
2013-12-12,0.34752459016393444,0.20253191489361705,0.34471138422910397,0.38821240134388646,0.38821240134388646
2013-12-13,0.35291803278688527,0.20253191489361705,0.3496585709716444,0.3937754966058258,0.3937754966058258
2013-12-14,0.3583114754098361,0.20253191489361705,0.3546227701952818,0.3991430075808744,0.3991430075808744
2013-12-15,0.36370491803278693,0.20253191489361705,0.3596025490782164,0.4043041331356346,0.4043041331356346
2013-12-16,0.36909836065573776,0.20253191489361705,0.36459647479864826,0.4092480721367085,0.4092480721367085
2013-12-17,0.37449180327868853,0.20253191489361705,0.36960311453477734,0.4139640234506985,0.4139640234506985
2013-12-18,0.37988524590163936,0.20253191489361705,0.3746210354648035,0.4184411859442069,0.4184411859442069
2013-12-19,0.3852786885245902,0.20253191489361705,0.37964880476692714,0.4226687584838356,0.4226687584838356
2013-12-20,0.390672131147541,0.20253191489361705,0.38468498961934816,0.4266359399361872,0.4266359399361872
2013-12-21,0.39606557377049184,0.20253191489361705,0.38972815720026643,0.4303319291678638,0.4303319291678638
2013-12-22,0.40145901639344267,0.20253191489361705,0.3947768746878822,0.43374592504546766,0.43374592504546766
2013-12-23,0.4068524590163935,0.20253191489361705,0.39982970926039524,0.436867126435601,0.436867126435601
2013-12-24,0.41224590163934427,0.20253191489361705,0.404885228096006,0.4396847322048662,0.4396847322048662
2013-12-25,0.4176393442622951,0.20253191489361705,0.4099419983729142,0.4421879412198654,0.4421879412198654
2013-12-26,0.4230327868852459,0.20253191489361705,0.41499858726932004,0.4443659523472008,0.4443659523472008
2013-12-27,0.42842622950819675,0.20253191489361705,0.42005356196342336,0.44620796445347466,0.44620796445347466
2013-12-28,0.4338196721311476,0.20253191489361705,0.4251054896334245,0.4477031764052892,0.4477031764052892
2013-12-29,0.4392131147540984,0.20253191489361705,0.4301529374575232,0.4488407870692468,0.4488407870692468
2013-12-30,0.44460655737704924,0.20253191489361705,0.43519447261391975,0.4496099953119497,0.4496099953119497
2013-12-31,0.45,0.45,0.45,0.45,0.45
2014-01-01,0.45,0.45,0.45,0.45,0.45
